Mtow,Mtow range,Charge,Type,,
280000,280,200,Flat Rate,,
227930,228,200,Flat Rate,,
79000,79,130,Flat Rate,,
351534,352,235,Flat Rate,,
77000,77,60,Flat Rate,,
227930,228,90,Flat Rate,,
247207,247,90,Flat Rate,,
89000,89,130,Flat Rate,,
77000,77,130,Flat Rate,,
79000,79,60,Flat Rate,,
247207,247,200,Flat Rate,,
252650,253,200,Flat Rate,,
93500,94,60,Flat Rate,,
73500,74,60,Flat Rate,,
351534,352,105,Flat Rate,,
97000,97,60,Flat Rate,,
68000,68,60,Flat Rate,,
347451,347,235,Flat Rate,,
73500,74,130,Flat Rate,,
280000,280,90,Flat Rate,,
