No.,Type,MTOW,Flight No.,REG,Distance(NM),DISTANCE_KM,FINAL_UNIT_RATE,Charge,CALCULATED_CHARGE,VERIFICATION_STATUS
1,B77W,354.534,AIC116,VTAEM,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
2,B77W,354.534,AIC130,VTAEP,1180.69,2186.63788,1.1939672399999999,2610.77,2610.77,Matched
3,B77W,354.534,AIC144,VTAEQ,1180.69,2186.63788,1.1939672399999999,2610.77,2610.77,Matched
4,B788,227.93,AIC132,VTANC,1180.69,2186.63788,0.8318798000000001,1819.02,1819.02,Matched
5,B77W,351.534,AIC126,VTALT,1180.69,2186.63788,1.18538724,2592.01,2592.01,Matched
6,B77W,354.534,AIC128,VTAEN,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
7,B77W,351.534,AIC156,VTALP,894.52,1656.65104,1.18538724,1963.77,1963.77,Matched
8,B77W,354.534,AIC116,VTAER,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
9,B77W,354.534,AIC130,VTAEQ,1180.69,2186.63788,1.1939672399999999,2610.77,2610.77,Matched
10,B788,227.93,AIC132,VTNAC,1180.69,2186.63788,0.8318798000000001,1819.02,1819.02,Matched
11,B77W,351.534,AIC126,VTALN,1180.69,2186.63788,1.18538724,2592.01,2592.01,Matched
12,B789,247.207,AIC2026,VTTSE,1159.71,2147.78292,0.88701202,1905.11,1905.11,Matched
13,B77W,354.534,AIC128,VTAEN,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
14,B77W,351.534,AIC156,VTALP,1159.71,2147.78292,1.18538724,2545.95,2545.95,Matched
15,B789,254.011,AIC2030,VTTSH,1180.69,2186.63788,0.9064714600000001,1982.12,1982.12,Matched
16,B77L,347.452,AIC127,VTAEF,712.1,1318.8092000000001,1.17371272,1547.9,1547.9,Matched
17,B788,227.93,AIC118,VTANW,1180.69,2186.63788,0.8318798000000001,1819.02,1819.02,Matched
18,B788,227.93,AIC134,VTANJ,1180.69,2186.63788,0.8318798000000001,1819.02,1819.02,Matched
19,B77W,351.534,AIC130,VTALS,1180.69,2186.63788,1.18538724,2592.01,2592.01,Matched
20,A359,280.0,AIC106,VTJRI,894.52,1656.65104,0.9808000000000001,1624.84,1624.84,Matched
21,B789,254.011,AIC2016,VTTSO,894.52,1656.65104,0.9064714600000001,1501.71,1501.71,Matched
22,B77W,351.534,AIC188,VTALR,894.52,1656.65104,1.18538724,1963.77,1963.77,Matched
23,B788,227.93,AIC133,VTANK,967.2,1791.2544000000003,0.8318798000000001,1490.11,1490.11,Matched
24,A359,280.0,AIC162,VTJRB,894.52,1656.65104,0.9808000000000001,1624.84,1624.84,Matched
25,B789,254.011,AIC2026,VTTSD,1180.69,2186.63788,0.9064714600000001,1982.12,1982.12,Matched
26,B77W,354.534,AIC128,VTAEN,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
27,A359,280.0,AIC112,VTJRH,894.52,1656.65104,0.9808000000000001,1624.84,1624.84,Matched
28,B788,227.93,AIC2028,VTANP,1180.69,2186.63788,0.8318798000000001,1819.02,1819.02,Matched
29,B77W,354.534,AIC119,VTAEP,1159.71,2147.78292,1.1939672399999999,2564.38,2564.38,Matched
30,B788,227.93,AIC118,VTAND,894.52,1656.65104,0.8318798000000001,1378.13,1378.13,Matched
31,B789,254.011,AIC2030,VTTSN,1180.69,2186.63788,0.9064714600000001,1982.12,1982.12,Matched
32,B77W,351.534,AIC156,VTALP,894.52,1656.65104,1.18538724,1963.77,1963.77,Matched
33,B77W,354.534,AIC144,VTAER,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
34,B788,227.93,AIC132,VTANK,894.52,1656.65104,0.8318798000000001,1378.13,1378.13,Matched
35,B788,227.93,AIC117,VTNAC,1159.71,2147.78292,0.8318798000000001,1786.7,1786.7,Matched
36,A359,280.0,AIC162,VTJRA,894.52,1656.65104,0.9808000000000001,1624.84,1624.84,Matched
37,B77W,354.534,AIC128,VTAEN,894.52,1656.65104,1.1939672399999999,1977.99,1977.99,Matched
38,B789,247.207,AIC112,VTTSE,894.52,1656.65104,0.88701202,1469.47,1469.47,Matched
39,B77W,354.534,AIC130D,VTAEO,1159.71,2147.78292,1.1939672399999999,2564.38,2564.38,Matched
40,B789,254.011,AIC2018,VTTSN,894.52,1656.65104,0.9064714600000001,1501.71,1501.71,Matched
