Mtow,Unit Rate,Weight Factor,Distance factor,Formula
79000,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
247207,31.34,1.71,Distance/100,Unit rate*Distance factor*weight factor
68000,31.34,1.15,Distance/100,Unit rate*Distance factor*weight factor
227930,31.34,1.71,Distance/100,Unit rate*Distance factor*weight factor
97000,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
77000,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
351534,31.34,1.95,Distance/100,Unit rate*Distance factor*weight factor
89000,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
93500,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
280000,31.34,1.8,Distance/100,Unit rate*Distance factor*weight factor
252650,31.34,1.71,Distance/100,Unit rate*Distance factor*weight factor
73500,31.34,1.22,Distance/100,Unit rate*Distance factor*weight factor
347451,31.34,1.95,Distance/100,Unit rate*Distance factor*weight factor
